carID,price
89856,13422.527625121033
106581,15631.828502846438
80886,11412.959582330828
100174,12545.686498076895
81376,14846.502614735913
85391,8970.387163800977
82175,11683.6651242327
95250,10826.643096866595
85071,5964.611730659933
96210,13226.70234525827
80317,16308.747690161135
92731,14823.059301229869
107704,7959.710524183392
98302,6930.879331877022
107055,13760.585806848609
94621,20921.09765990088
91709,12551.519144364109
98193,24839.570629552094
76189,13283.309265871965
86871,9357.18674175974
102917,6546.13320445623
90923,16291.993220053577
101603,11627.518737551734
94196,15822.125579784095
85174,11007.39005108892
103370,10069.814951061588
107877,10926.950731899758
79567,11945.787637941818
90091,8289.077969514763
76169,10402.63539312699
98708,7919.506795322473
107347,14778.36121609406
89583,8116.9747939018425
101591,9597.896939824725
92160,10678.455462349688
99676,10150.76817440744
85354,10564.90047345869
81900,9385.25059021787
80345,14666.129226883982
78509,18457.918955009634
100872,6788.693229622012
95087,15519.21030905713
86027,10864.028483954668
89135,10618.122342398854
80557,16267.384672198263
108092,13326.919128886471
102672,12541.766494819525
83022,8067.377380750367
78398,13522.88193576644
95889,17325.159403697675
81117,24091.426034729917
93730,14417.051973190777
101380,8995.028091705724
81772,16863.67362576655
85304,10025.306415598076
86107,7440.619538840513
88696,11760.626920984389
104350,14638.920632528107
87331,10852.150833890068
85206,11007.39005108892
107445,16192.357340581404
106539,17276.819491683353
98712,15817.041111060567
96875,9035.774707157856
108464,14164.324349343355
99890,7009.14075056934
87771,12479.183573235485
79442,13797.675185478063
84170,8970.387163800977
103045,10544.405453338217
101544,3565.3677795053654
77350,8477.067788227669
89225,9788.538433558328
79565,25274.36973513798
82849,9021.847100723777
94360,15739.405289539125
103040,6890.983241160934
105101,25027.87043060451
97077,9671.012569674933
98674,10269.807378840595
93447,18122.14639222132
84951,12150.917771113685
91953,8668.183514834478
102101,7777.453781035342
92604,16725.87372033563
89010,9386.573778424989
102729,8402.742987660544
88024,10025.306415598076
104367,9782.14946260263
101230,8552.39864547923
82524,12655.421666071235
95279,20186.93116897622
106098,9845.487458251147
